alert_id,traveler_id,passport_number,alert_type,severity,issued_by,issued_date,expiry_date,is_active,notes
42,125172,PAK42749489,Security,Critical,Punjab Police CTD,2025-10-03,2027-03-10,1,
43,34068,NPL70223374,Lost Document,Low,FIA Immigration Wing,2025-10-05,2026-09-16,1,
44,70655,AFG24655926,Security,Critical,Ministry of Interior,2025-10-23,2027-01-21,0,Interpol Red Notice reference: A-4900/2025.
45,52942,YEM70506151,Security,Critical,Foreign Government Request,2025-01-12,2025-06-01,1,Repeated visa violations across multiple jurisdictions.
46,17339,ETH87900709,Fraud,High,UNHCR Referral,2025-02-16,2025-12-14,1,Subject flagged during routine screening at Allama Iqbal Airport.
47,111888,ETH85501861,Lost Document,High,Foreign Government Request,2025-11-19,,1,Multiple entry/exit irregularities within 90-day period.
48,42408,IND13434610,Security,Medium,FIA Counter-Terrorism Wing,2025-07-27,,1,Financial transaction monitoring triggered alert.
49,26920,LKA93878490,Immigration Violation,Medium,Border Security Force,2025-12-12,,1,Document discrepancy detected during verification.
50,12704,IND67625992,Immigration Violation,High,Interpol NCB Islamabad,2025-12-25,,1,Financial transaction monitoring triggered alert.
51,86191,IND19476416,Immigration Violation,Medium,FIA Immigration Wing,2025-11-09,2027-05-18,1,Subject used altered travel documents.
52,131560,SYR41808617,Trafficking,Critical,NACTA,2025-11-23,2027-01-06,0,Subject used altered travel documents.
53,10403,IND40000150,Immigration Violation,Medium,KP Police CTD,2025-07-19,2026-02-04,1,Subject flagged during routine screening at Chaman Border.
54,39652,PAK54661413,ECL,High,KP Police CTD,2025-08-27,2027-06-12,1,ECL match confirmed during departure screening.
55,134584,AFG94097315,Fraud,Medium,FIA Counter-Terrorism Wing,2025-12-26,2027-06-30,1,Subject identified through biometric cross-match.
56,87872,AFG33197955,Lost Document,Low,NACTA,2025-11-01,2026-11-24,1,Subject used altered travel documents.
57,115334,PAK41526504,Immigration Violation,Medium,FIA Cyber Crime Wing,2025-05-15,2025-09-30,1,Repeated visa violations across multiple jurisdictions.
58,132617,PAK88594466,Immigration Violation,Medium,Interpol NCB Islamabad,2025-06-02,2026-07-23,0,Repeated visa violations across multiple jurisdictions.
59,70382,PAK34484403,ECL,Medium,FIA Cyber Crime Wing,2025-05-17,2026-07-22,1,ECL match confirmed during departure screening.
60,104963,PAK45700937,Immigration Violation,Low,Interpol NCB Islamabad,2025-10-12,,1,ECL match confirmed during departure screening.
61,146225,AFG32080838,Interpol,High,FIA Immigration Wing,2025-07-10,,1,Interpol Red Notice reference: A-8911/2025.
62,6252,PAK28072718,Lost Document,Low,Balochistan Police,2025-04-28,2026-10-11,1,Subject used altered travel documents.
63,14856,IND17160402,Immigration Violation,Medium,Balochistan Police,2025-09-24,2027-03-26,1,Document discrepancy detected during verification.
64,123565,IRQ46428385,Interpol,High,NACTA,2025-03-12,2026-11-16,1,ECL match confirmed during departure screening.
65,132335,NGA88542677,Immigration Violation,High,IB (Intelligence Bureau),2025-12-19,2027-01-11,1,Tip-off received from confidential informant.
66,35147,MMR26608272,Security,High,Sindh Police CTD,2025-08-03,,0,Multiple entry/exit irregularities within 90-day period.
67,15062,PAK49474459,Smuggling,High,Sindh Police CTD,2025-04-02,2025-08-12,1,Subject flagged during routine screening at Chaman Border.
68,94157,IND31292172,Immigration Violation,Low,ANF (Anti-Narcotics Force),2025-09-04,2026-01-14,1,Multiple entry/exit irregularities within 90-day period.
69,10056,PAK16738226,ECL,High,NACTA,2025-10-07,2026-04-17,1,
70,109477,SAU31326023,Trafficking,Critical,UNHCR Referral,2025-05-22,2025-09-23,1,Subject used altered travel documents.
71,30036,PAK89771806,ECL,High,Balochistan Police,2025-02-02,,1,Financial transaction monitoring triggered alert.
72,76021,PAK93498933,ECL,High,ISI,2025-02-17,2025-10-02,1,Interpol Red Notice reference: A-9259/2025.
73,42775,AFG95233244,Interpol,Medium,FIA Cyber Crime Wing,2025-07-18,2027-04-26,1,Tip-off received from confidential informant.
74,134868,PAK41173455,Immigration Violation,Medium,Foreign Government Request,2025-11-14,,1,
75,16839,PAK23854453,ECL,Medium,IB (Intelligence Bureau),2025-08-24,2026-03-20,1,ECL match confirmed during departure screening.
76,101633,PAK89712919,Fraud,High,NAB (National Accountability Bureau),2025-12-27,2027-07-30,1,Reported by foreign intelligence liaison.
77,77034,SSD68140896,Lost Document,Medium,Border Security Force,2025-08-06,,1,Interpol Red Notice reference: A-8957/2025.
78,103869,MMR42025769,Criminal,High,Sindh Police CTD,2025-07-10,2026-08-20,1,Repeated visa violations across multiple jurisdictions.
79,83448,AFG31462660,Trafficking,High,Ministry of Interior,2025-01-28,2026-03-08,0,Document discrepancy detected during verification.
80,107697,PAK27543682,Immigration Violation,High,UNHCR Referral,2025-06-18,2026-02-20,1,Repeated visa violations across multiple jurisdictions.
81,107031,PAK37911253,Security,High,KP Police CTD,2025-12-17,2027-10-26,1,Document discrepancy detected during verification.
82,22044,IND31986194,Smuggling,Medium,Foreign Government Request,2025-02-05,2026-02-08,1,
83,100995,AFG51235126,Security,Medium,Ministry of Interior,2025-11-22,2027-10-09,1,Subject identified through biometric cross-match.
84,21735,BGD72758932,Immigration Violation,Low,Foreign Government Request,2025-10-17,2026-06-14,0,
85,120776,PAK14502126,ECL,Critical,FIA Immigration Wing,2025-09-24,2027-08-25,1,
86,4361,NPL56696900,Lost Document,Low,UNHCR Referral,2025-07-11,2027-02-23,1,Associated with known smuggling network.
87,33963,PAK24223266,ECL,Critical,NAB (National Accountability Bureau),2025-06-08,2026-02-16,1,Associated with known smuggling network.
88,108038,PAK29910576,Criminal,Critical,NAB (National Accountability Bureau),2025-11-06,2027-06-19,1,
89,92301,PAK56153447,ECL,High,Balochistan Police,2025-11-19,2027-02-18,1,Document discrepancy detected during verification.
90,5632,PAK91556050,Fraud,High,NAB (National Accountability Bureau),2025-08-14,2026-07-04,1,Interpol Red Notice reference: A-2197/2025.
91,4227,PAK40477658,Trafficking,High,ISI,2025-04-26,,1,Subject linked to ongoing investigation case #58418.
92,85135,IND94846496,Fraud,Medium,Balochistan Police,2025-11-13,2026-05-23,1,Reported by foreign intelligence liaison.
93,74617,PAK98407485,ECL,High,ISI,2025-08-03,,1,
94,17634,NGA75104474,Trafficking,Medium,FIA Cyber Crime Wing,2025-03-03,2025-07-26,1,Document discrepancy detected during verification.
95,88439,AFG67041849,Interpol,High,ISI,2025-10-28,,1,Subject flagged during routine screening at Jinnah International.
96,23558,PAK72659859,Security,Critical,NACTA,2025-07-25,2026-09-01,1,Subject used altered travel documents.
97,122088,PAK32479448,Trafficking,Critical,Foreign Government Request,2025-03-19,2025-08-15,1,Tip-off received from confidential informant.
98,107045,PAK39837168,Immigration Violation,Medium,Punjab Police CTD,2025-04-13,2026-02-11,1,Tip-off received from confidential informant.
99,24813,MMR92303092,Interpol,Critical,Balochistan Police,2025-11-24,2026-05-12,1,Document discrepancy detected during verification.
100,57829,SOM22943646,Interpol,Critical,IB (Intelligence Bureau),2025-05-28,2026-05-25,1,Financial transaction monitoring triggered alert.
101,15107,YEM77206775,Immigration Violation,Medium,Ministry of Interior,2025-07-11,2026-03-24,1,Subject flagged during routine screening at Chaman Border.
102,119046,PAK72336775,ECL,Critical,FIA Counter-Terrorism Wing,2025-02-01,2025-11-30,1,Reported by foreign intelligence liaison.
103,94428,AFG91109131,Interpol,Critical,ISI,2025-03-10,2025-06-25,1,
104,35381,SOM85871209,Security,Medium,FIA Cyber Crime Wing,2025-12-09,2027-06-24,1,Interpol Red Notice reference: A-4318/2025.
105,139200,PAK53800474,Immigration Violation,Medium,Interpol NCB Islamabad,2025-12-10,2027-05-21,1,Subject linked to ongoing investigation case #86794.
106,147715,NGA25925371,Security,Critical,ISI,2025-10-02,2027-07-12,1,Repeated visa violations across multiple jurisdictions.
107,95117,PAK44887019,Lost Document,Low,FIA Cyber Crime Wing,2025-08-17,2026-01-05,1,Document discrepancy detected during verification.
108,76113,PAK40590456,Immigration Violation,High,Punjab Police CTD,2025-05-16,,0,Alert raised based on travel pattern analysis.
109,130477,CHN92181900,Fraud,Critical,Border Security Force,2025-12-05,2027-11-13,1,Subject used altered travel documents.
110,116090,YEM25847654,Immigration Violation,Medium,Interpol NCB Islamabad,2025-09-23,2026-09-25,1,Subject linked to ongoing investigation case #99642.
111,101532,FRA20300467,Immigration Violation,High,Interpol NCB Islamabad,2025-05-06,2025-10-02,0,Subject identified through biometric cross-match.
112,29935,AFG92302758,Interpol,Medium,Interpol NCB Islamabad,2025-05-27,2026-10-18,1,Interpol Red Notice reference: A-5165/2025.
113,73557,YEM85970157,Trafficking,High,NACTA,2025-08-28,2026-09-25,0,Associated with known smuggling network.
114,33846,BGD87690906,Immigration Violation,Low,FIA Cyber Crime Wing,2025-10-14,,1,Tip-off received from confidential informant.
115,89067,AFG44109797,Lost Document,Medium,ANF (Anti-Narcotics Force),2025-06-08,2026-01-21,1,ECL match confirmed during departure screening.
116,74540,AFG98034840,Smuggling,High,Balochistan Police,2025-12-10,2026-11-15,1,Interpol Red Notice reference: A-9608/2025.
117,119132,PAK13651765,Criminal,Critical,UNHCR Referral,2025-05-18,2026-08-27,1,ECL match confirmed during departure screening.
118,29987,,Immigration Violation,Medium,IB (Intelligence Bureau),2025-06-08,2027-03-08,0,Subject linked to ongoing investigation case #69690.
119,40899,AFG48337048,Interpol,Medium,IB (Intelligence Bureau),2025-03-08,2026-09-24,1,Document discrepancy detected during verification.
120,94540,SOM21156657,Fraud,High,KP Police CTD,2025-02-15,2026-02-24,1,Subject flagged during routine screening at Chaman Border.
121,43260,IRQ96814667,Security,Medium,Interpol NCB Islamabad,2025-05-21,2025-11-03,1,Subject flagged during routine screening at Chaman Border.
122,10211,PAK61219126,Smuggling,Medium,Ministry of Interior,2025-09-21,2027-05-25,1,Repeated visa violations across multiple jurisdictions.
123,118452,AFG84869840,Security,High,Punjab Police CTD,2025-08-03,2026-02-28,1,Multiple entry/exit irregularities within 90-day period.
124,8791,AFG14630490,Trafficking,Critical,FIA Cyber Crime Wing,2025-02-07,2026-05-23,1,Subject identified through biometric cross-match.
125,81638,SOM87212342,Security,High,Sindh Police CTD,2025-07-14,2025-10-23,1,Subject used altered travel documents.
126,112532,PAK78895113,ECL,Critical,KP Police CTD,2025-08-08,,1,Subject flagged during routine screening at Allama Iqbal Airport.
127,133291,PAK65353825,ECL,High,Foreign Government Request,2025-02-25,2026-07-15,1,Reported by foreign intelligence liaison.
128,22893,PAK35656346,Immigration Violation,Low,UNHCR Referral,2025-09-17,,1,
129,131571,IRQ51674176,Security,High,FIA Immigration Wing,2025-01-25,,1,Tip-off received from confidential informant.
130,74251,PAK88154399,Immigration Violation,Medium,Balochistan Police,2025-12-18,2027-06-18,1,
131,83809,AFG92296559,Fraud,High,NACTA,2025-03-03,2027-02-20,1,Financial transaction monitoring triggered alert.
132,138005,BGD12985036,Immigration Violation,High,FIA Immigration Wing,2025-04-26,2026-02-16,1,Financial transaction monitoring triggered alert.
133,96903,SYR33115336,Smuggling,High,Balochistan Police,2025-07-18,2026-03-14,1,Document discrepancy detected during verification.
134,60387,PAK19054853,Lost Document,Low,Foreign Government Request,2025-01-15,2026-02-09,1,Tip-off received from confidential informant.
135,142272,IND65317809,Trafficking,Critical,KP Police CTD,2025-10-16,2026-12-24,1,Subject linked to ongoing investigation case #24229.
136,142618,NPL26811284,Security,High,Border Security Force,2025-08-27,,1,Subject linked to ongoing investigation case #58964.
137,105282,,Security,Critical,Ministry of Interior,2025-07-05,2026-04-05,1,Subject linked to ongoing investigation case #42091.
138,105486,EGY58149270,Lost Document,Low,Foreign Government Request,2025-10-15,2026-10-19,0,Repeated visa violations across multiple jurisdictions.
139,32681,SOM46255678,Fraud,Critical,FIA Immigration Wing,2025-03-06,2025-11-23,1,Multiple entry/exit irregularities within 90-day period.
140,52512,IRN47634178,Smuggling,Critical,UNHCR Referral,2025-11-22,,1,Alert raised based on travel pattern analysis.
141,108555,BGD76338358,Immigration Violation,Medium,Balochistan Police,2025-09-21,2027-08-24,1,
142,30207,IND77452779,Security,Critical,Border Security Force,2025-06-14,2026-01-13,1,Financial transaction monitoring triggered alert.
143,100902,NPL41597194,Criminal,Medium,Sindh Police CTD,2025-09-03,2027-01-30,1,Document discrepancy detected during verification.
144,64469,SOM83326546,Security,Critical,NAB (National Accountability Bureau),2025-08-01,2026-07-29,1,
145,45939,AFG80805138,Security,Critical,Balochistan Police,2025-09-05,2026-10-17,0,ECL match confirmed during departure screening.
146,50163,PAK19620075,Criminal,High,NAB (National Accountability Bureau),2025-01-10,,1,
147,23290,PAK99285294,Lost Document,Low,FIA Cyber Crime Wing,2025-11-09,,1,Subject flagged during routine screening at Islamabad Airport.
148,69470,PAK48223558,Criminal,Medium,Balochistan Police,2025-01-12,2026-04-15,1,Alert raised based on travel pattern analysis.
149,118794,PHL84332693,Trafficking,Critical,UNHCR Referral,2025-08-02,2026-04-29,0,Subject linked to ongoing investigation case #97171.
150,35369,PAK69663558,ECL,Medium,Balochistan Police,2025-07-23,2026-08-13,0,Tip-off received from confidential informant.
151,106430,PAK65611425,ECL,Low,ANF (Anti-Narcotics Force),2025-04-07,2026-09-22,1,
152,1530,AFG81234789,Interpol,High,NAB (National Accountability Bureau),2025-05-17,,1,Interpol Red Notice reference: A-8336/2025.
153,144652,AFG74118602,Security,Critical,Sindh Police CTD,2025-01-03,2026-07-02,0,Reported by foreign intelligence liaison.
154,85171,BGD16693422,Immigration Violation,Medium,Sindh Police CTD,2025-01-10,2026-06-16,0,Financial transaction monitoring triggered alert.
155,48666,PAK70657682,Immigration Violation,Medium,ANF (Anti-Narcotics Force),2025-05-13,2026-06-01,1,
156,114435,PAK94128204,ECL,High,UNHCR Referral,2025-12-09,2027-03-24,1,Associated with known smuggling network.
157,35639,PHL30471151,Security,High,FIA Immigration Wing,2025-05-11,,0,Tip-off received from confidential informant.
158,57081,IND63572793,Immigration Violation,Medium,NAB (National Accountability Bureau),2025-11-27,2026-10-06,1,Multiple entry/exit irregularities within 90-day period.
159,144656,AFG99590270,Interpol,High,UNHCR Referral,2025-12-18,2026-06-25,1,Reported by foreign intelligence liaison.
160,77907,IRQ93417483,Immigration Violation,Medium,ISI,2025-08-01,2026-06-25,1,Financial transaction monitoring triggered alert.
161,133969,IRQ12342095,Trafficking,Medium,NAB (National Accountability Bureau),2025-03-11,2025-10-21,0,ECL match confirmed during departure screening.
162,136645,,Interpol,Critical,Foreign Government Request,2025-06-05,2026-12-16,1,Subject used altered travel documents.
163,50834,AFG99880550,Security,High,Border Security Force,2025-01-25,2025-09-16,1,Document discrepancy detected during verification.
164,136837,LKA64156579,Immigration Violation,High,FIA Cyber Crime Wing,2025-03-04,2026-08-21,1,Document discrepancy detected during verification.
165,72438,AFG64618442,Interpol,Critical,Sindh Police CTD,2025-10-09,2027-09-02,1,Reported by foreign intelligence liaison.
166,64077,PAK47272663,ECL,High,Sindh Police CTD,2025-06-18,2026-12-19,1,Tip-off received from confidential informant.
167,112584,TUR83187592,Immigration Violation,Low,FIA Immigration Wing,2025-04-17,2025-12-21,0,Subject linked to ongoing investigation case #90701.
168,26561,IND74098856,Security,High,Interpol NCB Islamabad,2025-01-16,2026-12-06,1,
169,110145,PAK17191767,Fraud,Critical,Balochistan Police,2025-09-10,2027-07-20,1,
170,120092,NGA17250099,Fraud,High,Balochistan Police,2025-01-15,2025-05-07,1,
171,40791,YEM36728514,Security,Critical,Interpol NCB Islamabad,2025-07-28,2026-05-23,1,Associated with known smuggling network.
172,33967,BGD24200398,Immigration Violation,Medium,FIA Counter-Terrorism Wing,2025-01-26,2026-10-19,0,Tip-off received from confidential informant.
173,28465,DEU16296772,Fraud,Medium,FIA Cyber Crime Wing,2025-10-08,2026-04-29,1,Repeated visa violations across multiple jurisdictions.
174,137683,PAK45004711,Immigration Violation,Low,Border Security Force,2025-05-28,2025-09-28,0,Document discrepancy detected during verification.
175,84082,BGD81298997,Immigration Violation,Medium,KP Police CTD,2025-10-06,2026-04-15,1,
176,71390,PAK70458694,Criminal,High,Sindh Police CTD,2025-10-02,2027-04-09,0,Interpol Red Notice reference: A-1321/2025.
177,85560,AFG31386712,Security,High,Punjab Police CTD,2025-10-15,2026-06-28,1,Reported by foreign intelligence liaison.
178,93440,PAK61179163,Criminal,Critical,KP Police CTD,2025-12-13,2026-12-29,1,Financial transaction monitoring triggered alert.
179,114095,AFG80966313,Immigration Violation,High,Sindh Police CTD,2025-12-25,2026-06-26,1,Subject identified through biometric cross-match.
180,82603,IRN76816941,Criminal,Medium,Sindh Police CTD,2025-12-19,2027-11-17,1,Tip-off received from confidential informant.
181,124839,SYR75350767,Immigration Violation,Medium,FIA Immigration Wing,2025-08-11,,1,
182,92979,SSD34243586,Interpol,High,FIA Immigration Wing,2025-09-21,,1,
183,75707,YEM46044765,Lost Document,Low,Ministry of Interior,2025-12-19,2027-08-23,1,
184,26559,AFG27479547,Security,Critical,Punjab Police CTD,2025-05-01,2026-09-07,1,Subject identified through biometric cross-match.
185,61463,PAK75492876,Immigration Violation,High,FIA Counter-Terrorism Wing,2025-01-15,2026-03-03,1,Subject identified through biometric cross-match.
186,123631,PAK34040081,ECL,High,Foreign Government Request,2025-05-11,2026-12-27,1,Alert raised based on travel pattern analysis.
187,67719,AFG55949747,Security,Medium,Ministry of Interior,2025-09-26,2026-03-15,1,Financial transaction monitoring triggered alert.
188,98575,PAK37702011,Smuggling,Critical,Sindh Police CTD,2025-03-08,2027-03-02,1,Interpol Red Notice reference: A-9642/2025.
189,19429,IRN56243838,Immigration Violation,Medium,ISI,2025-02-25,2026-02-24,1,Subject linked to ongoing investigation case #60477.
190,11349,PAK30170078,Fraud,Critical,Foreign Government Request,2025-08-12,2026-01-05,1,
191,108415,PAK21118333,ECL,Critical,KP Police CTD,2025-12-12,2027-09-05,1,Subject linked to ongoing investigation case #70282.
192,13055,PAK29455168,Criminal,High,Balochistan Police,2025-04-14,2025-08-12,1,Repeated visa violations across multiple jurisdictions.
193,79824,PAK63439399,Immigration Violation,Medium,IB (Intelligence Bureau),2025-09-15,2026-10-13,1,Subject flagged during routine screening at Jinnah International.
194,34671,PAK95812945,Trafficking,High,UNHCR Referral,2025-08-26,2027-08-16,1,Associated with known smuggling network.
195,100817,PAK36282577,Fraud,High,ISI,2025-11-09,2026-11-23,1,Reported by foreign intelligence liaison.
196,46717,YEM53405672,Lost Document,Medium,Balochistan Police,2025-11-22,2026-10-12,1,Tip-off received from confidential informant.
197,76471,AFG10491836,Trafficking,Critical,Interpol NCB Islamabad,2025-06-14,2026-07-26,1,Multiple entry/exit irregularities within 90-day period.
198,117613,PAK87255987,ECL,High,IB (Intelligence Bureau),2025-06-16,2026-06-01,1,Interpol Red Notice reference: A-2173/2025.
199,82124,PAK92306946,ECL,High,KP Police CTD,2025-01-11,2025-11-18,0,Document discrepancy detected during verification.
200,39918,PAK14541190,Trafficking,High,ANF (Anti-Narcotics Force),2025-08-02,2027-06-25,1,Interpol Red Notice reference: A-7737/2025.
201,51674,PAK69133693,Immigration Violation,Medium,Punjab Police CTD,2025-09-27,2026-01-19,1,Associated with known smuggling network.
202,128576,AFG12950707,Interpol,Critical,Border Security Force,2025-01-12,2026-04-30,1,Alert raised based on travel pattern analysis.
203,76565,PAK54991921,Lost Document,Low,Ministry of Interior,2025-08-18,2027-05-16,0,Repeated visa violations across multiple jurisdictions.
204,96530,IND74898866,Security,Critical,Interpol NCB Islamabad,2025-01-16,2026-09-30,1,
205,58996,AFG99825495,Lost Document,Low,Balochistan Police,2025-11-20,,0,Subject used altered travel documents.
206,89228,PAK58318333,Immigration Violation,High,Balochistan Police,2025-08-06,2027-08-01,1,Reported by foreign intelligence liaison.
207,2246,PAK39689818,Fraud,Low,ANF (Anti-Narcotics Force),2025-11-25,,1,ECL match confirmed during departure screening.
208,44713,PAK46397490,Lost Document,Medium,FIA Counter-Terrorism Wing,2025-01-18,2026-01-19,0,
209,144001,AFG63177848,Criminal,High,Border Security Force,2025-12-12,2026-11-23,0,
210,145573,PAK83800113,Immigration Violation,Low,IB (Intelligence Bureau),2025-06-24,2026-10-14,1,ECL match confirmed during departure screening.
211,18788,SSD80749077,Interpol,Medium,Border Security Force,2025-05-10,2026-03-11,1,Subject used altered travel documents.
212,58686,AFG52051172,Security,Critical,FIA Cyber Crime Wing,2025-05-08,2026-09-03,0,ECL match confirmed during departure screening.
213,143706,NGA45832939,Immigration Violation,High,Border Security Force,2025-02-13,2026-10-07,1,Associated with known smuggling network.
214,55632,PAK86130689,ECL,Medium,Punjab Police CTD,2025-10-14,,1,Subject identified through biometric cross-match.
215,149595,PAK82773007,Trafficking,Critical,UNHCR Referral,2025-05-01,2026-07-24,0,Financial transaction monitoring triggered alert.
216,131647,SYR81019285,Interpol,High,Punjab Police CTD,2025-08-24,,1,Financial transaction monitoring triggered alert.
217,131229,PAK85867365,Smuggling,High,IB (Intelligence Bureau),2025-09-24,2026-12-27,1,Subject used altered travel documents.
218,7503,BGD11921232,Criminal,Critical,Balochistan Police,2025-05-28,2026-11-26,1,ECL match confirmed during departure screening.
219,110779,PAK33269143,Immigration Violation,High,IB (Intelligence Bureau),2025-12-04,2026-09-21,1,Interpol Red Notice reference: A-7009/2025.
220,91280,PAK50777113,ECL,High,UNHCR Referral,2025-05-27,2027-01-16,1,Interpol Red Notice reference: A-4062/2025.
221,129412,PAK15929771,Fraud,High,Ministry of Interior,2025-07-28,2026-12-22,1,
222,66130,IND12747677,Immigration Violation,Medium,NACTA,2025-01-02,2026-11-02,1,Subject used altered travel documents.
223,25056,BGD42033320,Fraud,High,Ministry of Interior,2025-05-19,2026-01-29,1,Associated with known smuggling network.
224,49115,SDN54892239,Security,Low,Balochistan Police,2025-10-18,,1,Tip-off received from confidential informant.
225,97453,PAK61483515,ECL,High,FIA Immigration Wing,2025-01-25,2026-09-05,1,ECL match confirmed during departure screening.
226,12715,PAK30371828,Immigration Violation,Medium,Ministry of Interior,2025-03-06,2025-06-29,0,Financial transaction monitoring triggered alert.
227,65096,AFG74736102,Security,Critical,KP Police CTD,2025-10-13,2027-07-30,1,Subject linked to ongoing investigation case #24623.
228,104437,SOM52600798,Immigration Violation,High,Foreign Government Request,2025-09-13,2026-08-27,1,Subject identified through biometric cross-match.
229,42434,SOM99195174,Interpol,Critical,Sindh Police CTD,2025-05-06,2027-02-01,0,Associated with known smuggling network.
230,72294,PAK48899402,ECL,Critical,KP Police CTD,2025-04-02,2025-10-20,1,Multiple entry/exit irregularities within 90-day period.
231,62143,PAK88947074,Fraud,Critical,FIA Immigration Wing,2025-05-20,,1,Subject identified through biometric cross-match.
